날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
"2022-10-02",184,24.9,18.9,30.6
"2022-10-03",184,26.1,22.6,29.5
"2022-10-04",184,21.3,18.2,27.8
"2022-10-05",184,19.4,17.5,22.6
"2022-10-06",184,18.7,16.7,21.6
"2022-10-07",184,17.8,15.6,21.1
"2022-10-08",184,18,15.5,20.6
"2022-10-09",184,18.6,16.4,20.5
"2022-10-10",184,16.2,14.4,18.3
"2022-10-11",184,17.1,15.6,20.1
"2022-10-12",184,18.2,12.9,20.6
"2022-10-13",184,19.4,17.7,21.9
"2022-10-14",184,19.5,17.7,22.1
"2022-10-15",184,20.4,17.9,23
"2022-10-16",184,20.4,18.3,23.1
"2022-10-17",184,16.9,14,20.4
"2022-10-18",184,14.7,13.1,17.8
"2022-10-19",184,15.1,12.4,18.8
"2022-10-20",184,15.9,11.5,20.2
"2022-10-21",184,18.5,13.4,22.3
"2022-10-22",184,20,17.5,24.3
"2022-10-23",184,17.5,15.2,20.6
"2022-10-24",184,15.4,13.1,17.8
"2022-10-25",184,14.8,11.9,18.4
"2022-10-26",184,17.6,13.8,20.6
"2022-10-27",184,16.9,13.4,21.1
"2022-10-28",184,16.5,12.5,20.8
"2022-10-29",184,18,14.6,20.7
"2022-10-30",184,17.6,15.7,20
"2022-10-31",184,17.2,15.8,19.7
"2022-11-01",184,17.5,14.5,21.5
"2022-11-02",184,16.2,12.7,19.9
"2022-11-03",184,15.9,11.3,20.5
"2022-11-04",184,12.4,10.6,14.9
"2022-11-05",184,12.7,10.8,16.2
"2022-11-06",184,12.6,8.5,17
"2022-11-07",184,13.7,9.5,18.3
"2022-11-08",184,15,10.5,20.8
"2022-11-09",184,16.5,12.1,21.4
"2022-11-10",184,18.7,14.8,23.5
"2022-11-11",184,20.4,18.1,24
"2022-11-12",184,20.2,17.1,24
"2022-11-13",184,14.9,12.9,21.2
"2022-11-14",184,13.7,12.3,16.4
"2022-11-15",184,13.1,10.2,16.7
"2022-11-16",184,13.5,9.7,18.7
"2022-11-17",184,14.2,11.4,18.2
"2022-11-18",184,16,13.9,18.9
"2022-11-19",184,17.1,14.9,19.9
"2022-11-20",184,15.7,14.4,17
"2022-11-21",184,16.2,13.9,20
"2022-11-22",184,15.7,13.9,18.2
"2022-11-23",184,14.2,10.9,16.2
"2022-11-24",184,12.8,9.5,18.1
"2022-11-25",184,15.1,9.2,21.6
"2022-11-26",184,14.6,10.6,18.6
"2022-11-27",184,14.3,8.8,19.8
"2022-11-28",184,21.9,15.4,27.4
"2022-11-29",184,14.1,8.7,21
"2022-11-30",184,5.7,4.1,8.8
"2022-12-01",184,5.5,4,7
"2022-12-02",184,7.1,5.4,10.1
"2022-12-03",184,10.4,5.9,12.3
"2022-12-04",184,8.1,6.5,10.9
"2022-12-05",184,5.8,4.6,7.8
"2022-12-06",184,8.6,3.7,12.3
"2022-12-07",184,10.2,6.4,14.1
"2022-12-08",184,9,5.2,12.5
"2022-12-09",184,11.2,8.1,14.6
"2022-12-10",184,11.1,8.7,14.5
"2022-12-11",184,9.1,5.7,10.7
"2022-12-12",184,8.4,5.3,10.5
"2022-12-13",184,9.6,7.4,12
"2022-12-14",184,4.2,2.5,7.4
"2022-12-15",184,7,2.4,11
"2022-12-16",184,5.7,4.5,9.2
"2022-12-17",184,3.4,0.3,5.7
"2022-12-18",184,2.5,-0.3,4
"2022-12-19",184,6.3,2.5,8.5
"2022-12-20",184,8.3,4.1,12.1
"2022-12-21",184,9.3,7.7,10.9
"2022-12-22",184,3.4,0.4,7.7
"2022-12-23",184,1.7,-0.4,2.8
"2022-12-24",184,3.5,1.8,4.1
"2022-12-25",184,5.7,3.9,7.8
"2022-12-26",184,6.8,5,8.2
"2022-12-27",184,6.5,5.6,8.1
"2022-12-28",184,6.8,5.3,8.9
"2022-12-29",184,6,4.9,7.7
"2022-12-30",184,7,5.9,8.6
"2022-12-31",184,7,5.4,9.8
